Year,Name,Worth,Age
2001,"Alsaud, Prince Alwaleed Bin Talal",200.0,44
2001,LiKa-shing,126.0,72
2001,"Kwok brothers, Walter, Thomas, Raymond",115.0,-
2001,"Takei, Yasuo & family",83.0,71
2001,"Olayan, Suliman",80.0,-
2001,"Saji, Nobutada & family",77.0,74
2001,"Premji, Azim & family",69.0,55
2001,"Al-Kharafi, Nasser & family",60.0,57
2001,LeeShau Kee,59.0,73
2001,"Kinoshita, KyosUnited Kingdome & family",56.0,43
2001,"Son, Masayoshi",56.0,60
2001,"FUnited Kingdomuda, Yoshitaka",52.0,53
2001,"Yanai, Tadashi",48.0,52
2001,"Ito, Masatoshi",45.0,72
2001,"Iwasaki, FUnited Kingdomuzo",42.0,76
2001,"Wang, Patrick",41.0,51
2001,TsaiWan-lin & family,38.0,63
2001,"Arison Dorsman, Shari",37.0,-
2001,"Karamehmet, Mehmet & family",37.0,78
2001,"Kuok, Robert",37.0,56
2001,"Wang, Nina",37.0,65
2001,NgTeng Fong & family,35.0,-
2001,"Okada, Kazuo",35.0,58
2001,"Sabani, Sakip & family",35.0,72
2001,"Ambani, Dhirubhai & family",34.0,69
2001,"Itoyama, Eitaro",33.0,74
2001,"Jinnai, Ryoichi",33.0,58
2001,"Mori, Akira",33.0,64
2001,"Al-Hariri, Rafik & family",31.0,-
2001,"Jameel, Mohammed & family",30.0,70
2001,"Kamel, Saleh",30.0,75
2001,KhooTeck Puat,30.0,82
2001,"Yamauchi, Hiroshi",29.0,56
2001,"Tsutsumi, Yoshiaki",28.0,74
2001,ChengYu-tung,27.0,36
2001,"Wang, Y.C.",27.0,-
2001,"Fujita, Den",26.0,55
2001,"Ko, Rahmi & family",25.0,55
2001,"Takizaki, Takemitsu",25.0,-
2001,"Kuo, Terry",23.0,58
2001,"Nadar, Shiv",22.0,48
2001,"Yoshida, Tadahiro",22.0,60
2001,"Al Rajhi, Sulaiman bin Abdul Aziz",21.0,84
2001,"Ofer, Sammy & Yuli",21.0,54
2001,"Li, Richard",20.0,61
2001,"Sahenk, Ferit & family",20.0,65
2001,"Al Ghurair, Abdul Aziz",19.0,47
2001,"Bin Mahfouz, Khalid",19.0,72
2001,"Morita, Masao & family",19.0,81
2001,"Nambu, YasuyUnited Kingdomi",19.0,-
2001,"OtsUnited Kingdoma, Akihiko & family",19.0,59
2001,"Mabuchi, Kenichi & family",18.0,62
2001,"Birla, Kumar Mangalam",17.0,-
2001,"Halim, Rachman & family",17.0,33
2001,ChenDin Hwa,16.0,78
2001,"Funai, Tetsuro",16.0,49
2001,KwekLeng Beng,16.0,81
2001,LeeKun Hee & family,16.0,-
2001,"Shwed, Gil",16.0,54
2001,"Uzan, Kemal & family",16.0,86
2001,"Al Jeraisy, Abdul Al Rahman",15.0,-
2001,"Nacht, Marius",15.0,-
2001,TiongHiew King,15.0,44
2001,"FUnited Kingdomutake, Soichiro",14.0,34
2001,KooChen-fu & family,14.0,76
2001,"Al Rajhi, Saleh Bin Abdul",13.0,71
2001,RongYiren & family,13.0,65
2001,"Sampoerna, Putera",13.0,46
2001,"Sy, Henry & family",13.0,58
2001,"Bromilow, David",12.0,66
2001,"Busujima, Kunio",12.0,-
2001,LeeSeng Wee and family,12.0,-
2001,"Shinawatra, Thaksin",12.0,-
2001,"Tan, Lucio",12.0,48
2001,"Zobel de Ayala, Jamie & family",12.0,71
2001,"Fok, Henry",11.0,54
2001,"Fung, Victor",11.0,-
2001,"Fung, William",11.0,-
