Rank,Name,W2001,Citizenship,C2001,Age01,I01,,Rank,Name,W2002,Citizenship,C2002,Age02,I02,,Rank,Name,W2003,Citizenship,C2003,Age03,I03,,Rank,Name,W2004,Citizenship,C2004,Age04,I04,,Rank,Name,W2005,Citizenship,C2005,Age05,I05,,Rank,Name,W2006,Citizenship,C2006,Age06,I06,,Rank,Name,W2007,Citizenship,C2007,Age07,I07,,Rank,Name,W2008,Citizenship,C2008,Age08,I08,,Rank,Name,W2009,Citizenship,C2009,Age09,I09,,Rank,Name,W2010,Citizenship,C2010,Age10,I10,G10,,Rank,Name,W2011,Citizenship,C2011,Age11,I11,G11,,Rank,Name,W2012,Citizenship,C2012,Age12,I12,G12,,Rank,Name,W2013,Citizenship,C2013,Age13,I13,G13,,Rank,Name,W2014,Citizenship,C2014,Age14,I14,G14,,Rank,Name,W2015,Citizenship,C2015,Age15,I15,G15,,Rank,Name,W2016,Citizenship,C2016,Age16,I16,G16,,Rank,Name,W2017,Citizenship,C2017,Age17,I17,G17,,Rank,Name,W2018,Citizenship,C2018,Age18,I18,G18,,Rank,Name,W2019,Citizenship,C2019,Age19,I19,G19,,Rank,Name,W2020,Citizenship,C2020,Age20,I20,G20,,Rank,Name,W2021,Citizenship,C2021,Age21,I21,G21,,Rank,Name,W2022,Citizenship,C2022,Age22,I22,G22,,Rank,full_name,W2023,Citizenship,C2023,Age23,I23,G23
1,"Gates, William H. III",587,United State,North America,45,Information Technology,,1,"Gates, William H III",528,United State,North America,46,Information Technology,,1,William H Gates III,407,United State,North America,47,Information Technology,,1,William Gates III,466,United State,North America,48,Information Technology,,1,William Gates III,465,United State,North America,49,Information Technology,,1,William Gates III,500,United State,North America,50,Information Technology,,1,William Gates III,560,United State,North America,51,Information Technology,,1,Warren Buffett,620,United State,North America,77,Consumer,,1,William Gates III,400,United State,North America,53,Information Technology,,1,Carlos Slim Helu & family,535,Mexico,North America,70,Communication Services,Male,,1,Carlos Slim Helu & family,740,Mexico,North America,71,Communication Services,Male,,1,Carlos Slim Helu & family,690,Mexico,North America,72,Communication Services,Male,,1,Carlos Slim Helu & family,730,Mexico,North America,73,Communication Services,Male,,1,Bill Gates,760,United State,North America,58,Information Technology,Male,,1,Bill Gates,792,United State,North America,59,Information Technology,Male,,1,Bill Gates,750,United State,North America,60,Information Technology,Male,,1,Bill Gates,860,United State,North America,61,Information Technology,Male,,1,Jeff Bezos,1120,United State,North America,54,Information Technology,Male,,1,Jeff Bezos,1310,United State,North America,55,Information Technology,Male,,1,Jeff Bezos,1130,United State,North America,56,Information Technology,Male,,1,Jeff Bezos,1770,United State,North America,57,Information Technology,Male,,1,Elon Musk,2190,United State,North America,50,Consumer,Male,,1,Bernard Arnault & family,2110,France,Europe,74,Consumer,Male
2,"Buffett, Warren Edward",323,United State,North America,70,Consumer,,2,"Buffett, Warren E",350,United State,North America,71,Consumer,,2,Warren E Buffett,305,United State,North America,72,Consumer,,2,Warren Buffett,429,United State,North America,73,Consumer,,2,Warren Buffett,440,United State,North America,74,Consumer,,2,Warren Buffett,420,United State,North America,75,Consumer,,2,Warren Buffett,520,United State,North America,76,Consumer,,2,Carlos Slim Helu & family,600,Mexico,North America,68,Communication Services,,2,Warren Buffett,370,United State,North America,78,Consumer,,2,William Gates III,530,United State,North America,54,Information Technology,Male,,2,Bill Gates,560,United State,North America,55,Information Technology,Male,,2,Bill Gates,610,United State,North America,56,Information Technology,Male,,2,Bill Gates,670,United State,North America,57,Information Technology,Male,,2,Carlos Slim Helu & family,720,Mexico,North America,74,Communication Services,Male,,2,Carlos Slim Helu,771,Mexico,North America,75,Communication Services,Male,,2,Amancio Ortega,670,Spain,Europe,79,Consumer,Male,,2,Warren Buffett,756,United State,North America,86,Financials,Male,,2,Bill Gates,900,United State,North America,62,Information Technology,Male,,2,Bill Gates,965,United State,North America,63,Information Technology,Male,,2,Bill Gates,980,United State,North America,64,Information Technology,Male,,2,Elon Musk,1510,United State,North America,49,Consumer,Male,,2,Jeff Bezos,1710,United State,North America,58,Information Technology,Male,,2,Elon Musk,1800,United State,North America,51,Consumer,Male
3,"Allen, Paul Gardner",304,United State,North America,48,Information Technology,,3,"Albrecht, Karl & Theo",268,Germany,Europe,82,Consumer,,3,Karl & Theo Albrecht,256,Germany,Europe,-,Consumer,,3,Karl Albrecht,230,Germany,Europe,84,Consumer,,3,Lakshmi Mittal,250,India,Asia,54,Energy,,3,Carlos Slim Helu,300,Mexico,North America,66,Communication Services,,3,Carlos Slim Helu,490,Mexico,North America,67,Communication Services,,3,William Gates III,580,United State,North America,52,Information Technology,,3,Carlos Slim Helu & family,350,Mexico,North America,69,Communication Services,,3,Warren Buffett,470,United State,North America,79,Consumer,Male,,3,Warren Buffett,500,United State,North America,80,Consumer,Male,,3,Warren Buffett,440,United State,North America,81,Consumer,Male,,3,Amancio Ortega,570,Spain,Europe,76,Consumer,Male,,3,Amancio Ortega,640,Spain,Europe,77,Consumer,Male,,3,Warren Buffett,727,United State,North America,84,Consumer,Male,,3,Warren Buffett,608,United State,North America,85,Financials,Male,,3,Jeff Bezos,728,United State,North America,53,Information Technology,Male,,3,Warren Buffett,840,United State,North America,87,Financials,Male,,3,Warren Buffett,825,United State,North America,88,Financials,Male,,3,Bernard Arnault & family,760,France,Europe,71,Consumer,Male,,3,Bernard Arnault & family,1500,France,Europe,72,Consumer,Male,,3,Bernard Arnault & family,1580,France,Europe,73,Consumer,Male,,3,Jeff Bezos,1140,United State,North America,59,Information Technology,Male
4,"Ellison, Lawrence Joseph",260,United State,North America,56,Information Technology,,4,"Allen, Paul G",252,United State,North America,49,Information Technology,,4,Paul G Allen,201,United State,North America,50,Information Technology,,4,Prince Alwaleed Bin Talal Alsaud,215,Saudi Arabia,Asia,47,Financials,,4,Carlos Slim Helu,238,Mexico,North America,65,Communication Services,,4,Ingvar Kamprad,280,Sweden,Europe,79,Consumer,,4,Ingvar Kamprad & family,330,Sweden,Europe,80,Consumer,,4,Lakshmi Mittal,450,India,Asia,57,Energy,,4,Lawrence Ellison,225,United State,North America,64,Information Technology,,4,MUnited Kingdomesh Ambani,290,India,Asia,52,Energy,Male,,4,Bernard Arnault,410,France,Europe,62,Consumer,Male,,4,Bernard Arnault,410,France,Europe,63,Consumer,Male,,4,Warren Buffett,535,United State,North America,82,Consumer,Male,,4,Warren Buffett,582,United State,North America,83,Consumer,Male,,4,Amancio Ortega,645,Spain,Europe,78,Consumer,Male,,4,Carlos Slim Helu,500,Mexico,North America,76,Information Technology,Male,,4,Amancio Ortega,713,Spain,Europe,80,Consumer,Male,,4,Bernard Arnault,720,France,Europe,69,Consumer,Male,,4,Bernard Arnault & family,760,France,Europe,70,Consumer,Male,,4,Warren Buffett,675,United State,North America,89,Financials,Male,,4,Bill Gates,1240,United State,North America,65,Information Technology,Male,,4,Bill Gates,1290,United State,North America,66,Information Technology,Male,,4,Larry Ellison,1070,United State,North America,78,Information Technology,Male
5,"Albrecht, Theo & Karl",250,Germany,Europe,-,Consumer,,5,"Ellison, Lawrence J",235,United State,North America,57,Information Technology,,5,Prince Alwaleed Bin Talal Alsaud,177,Saudi Arabia,Asia,46,Financials,,5,Paul Allen,210,United State,North America,51,Information Technology,,5,Prince Alwaleed Bin Talal Alsaud,237,Saudi Arabia,Asia,48,Financials,,5,Lakshmi Mittal,235,India,Asia,55,Energy,,5,Lakshmi Mittal,320,India,Asia,56,Energy,,5,MUnited Kingdomesh Ambani,430,India,Asia,50,Energy,,5,Ingvar Kamprad & family,220,Sweden,Europe,83,Consumer,,5,Lakshmi Mittal,287,India,Asia,59,Energy,Male,,5,Larry Ellison,395,United State,North America,66,Information Technology,Male,,5,Amancio Ortega,375,Spain,Europe,75,Consumer,Male,,5,Larry Ellison,430,United State,North America,68,Information Technology,Male,,5,Larry Ellison,480,United State,North America,69,Information Technology,Male,,5,Larry Ellison,543,United State,North America,70,Information Technology,Male,,5,Jeff Bezos,452,United State,North America,52,Information Technology,Male,,5,Mark Zuckerberg,560,United State,North America,32,Information Technology,Male,,5,Mark Zuckerberg,710,United State,North America,33,Information Technology,Male,,5,Carlos Slim Helu & family,640,Mexico,North America,79,Information Technology,Male,,5,Larry Ellison,590,United State,North America,75,Information Technology,Male,,5,Mark Zuckerberg,970,United State,North America,36,Information Technology,Male,,5,Warren Buffett,1180,United State,North America,91,Financials,Male,,5,Warren Buffett,1060,United State,North America,92,Financials,Male
6,"Alsaud, Prince Alwaleed Bin Talal",200,Saudi Arabia,Asia,44,Financials,,6,"Walton, Jim C",208,United State,North America,54,Consumer,,6,Lawrence J Ellison,166,United State,North America,58,Information Technology,,6,Alice Walton,200,United State,North America,55,Consumer,,6,Ingvar Kamprad,230,Sweden,Europe,78,Consumer,,6,Paul Allen,220,United State,North America,53,Information Technology,,6,Sheldon Adelson,265,United State,North America,73,Real Estate,,6,Anil Ambani,420,India,Asia,48,Communication Services,,6,Karl Albrecht,215,Germany,Europe,89,Consumer,,6,Lawrence Ellison,280,United State,North America,65,Information Technology,Male,,6,Lakshmi Mittal,311,India,Asia,60,Energy,Male,,6,Larry Ellison,360,United State,North America,67,Information Technology,Male,,6,Charles Koch,340,United State,North America,77,Energy,Male,,6,Charles Koch,400,United State,North America,78,Financials,Male,,6,Charles Koch,429,United State,North America,79,Financials,Male,,6,Mark Zuckerberg,446,United State,North America,31,Information Technology,Male,,6,Carlos Slim Helu,545,Mexico,North America,77,Information Technology,Male,,6,Amancio Ortega,700,Spain,Europe,81,Consumer,Male,,6,Amancio Ortega,627,Spain,Europe,82,Consumer,Male,,6,Amancio Ortega,551,Spain,Europe,84,Consumer,Male,,6,Warren Buffett,960,United State,North America,90,Financials,Male,,6,Larry Page,1110,United State,North America,49,Information Technology,Male,,6,Bill Gates,1040,United State,North America,67,Information Technology,Male
7,"Walton, Jim C.",188,United State,North America,53,Consumer,,7,"Walton, John T",207,United State,North America,56,Consumer,,7,Alice L Walton,165,United State,North America,54,Consumer,,6,Helen Walton,200,United State,North America,84,Consumer,,7,Paul Allen,210,United State,North America,52,Information Technology,,7,Bernard Arnault,215,France,Europe,57,Consumer,,7,Bernard Arnault,260,France,Europe,58,Consumer,,7,Ingvar Kamprad & family,310,Sweden,Europe,81,Consumer,,7,MUnited Kingdomesh Ambani,195,India,Asia,51,Energy,,7,Bernard Arnault,275,France,Europe,61,Consumer,Male,,7,Amancio Ortega,310,Spain,Europe,74,Consumer,Male,,7,Eike Batista,300,Brazil,South America,55,Materials,Male,,6,David Koch,340,United State,North America,72,Energy,Male,,6,David Koch,400,United State,North America,73,Financials,Male,,6,David Koch,429,United State,North America,74,Financials,Male,,7,Larry Ellison,436,United State,North America,71,Information Technology,Male,,7,Larry Ellison,522,United State,North America,72,Information Technology,Male,,7,Carlos Slim Helu,671,Mexico,North America,78,Information Technology,Male,,7,Larry Ellison,625,United State,North America,74,Information Technology,Male,,7,Mark Zuckerberg,547,United State,North America,35,Information Technology,Male,,7,Larry Ellison,930,United State,North America,76,Information Technology,Male,,7,Sergey Brin,1070,United State,North America,48,Information Technology,Male,,7,Michael Bloomberg,945,United State,North America,81,Communication Services,Male
8,"Walton, John T.",187,United State,North America,55,Consumer,,8,"Walton, Alice L",205,United State,North America,53,Consumer,,7,Helen R Walton,165,United State,North America,83,Consumer,,6,Jim Walton,200,United State,North America,56,Consumer,,8,Karl Albrecht,185,Germany,Europe,85,Consumer,,8,Prince Alwaleed Bin Talal Alsaud,200,Saudi Arabia,Asia,49,Financials,,8,Amancio Ortega,240,Spain,Europe,71,Consumer,,8,KP Singh,300,India,Asia,76,Real Estate,,8,Lakshmi Mittal,193,India,Asia,58,Energy,,8,Eike Batista,270,Brazil,South America,53,Materials,Male,,8,Eike Batista,300,Brazil,South America,54,Materials,Male,,8,Stefan Persson,260,Sweden,Europe,64,Consumer,Male,,8,Li Ka-shing,310,China,Asia,84,Real Estate,Male,,8,Sheldon Adelson,380,United State,North America,80,Real Estate,Male,,8,Christy Walton,417,United State,North America,60,Consumer,Female,,8,Michael Bloomberg,400,United State,North America,74,Communication Services,Male,,8,Charles Koch,483,United State,North America,81,Financials,Male,,8,Charles Koch,600,United State,North America,82,Financials,Male,,8,Mark Zuckerberg,623,United State,North America,34,Information Technology,Male,,8,Jim Walton,546,United State,North America,71,Consumer,Male,,8,Larry Page,915,United State,North America,48,Information Technology,Male,,8,Larry Ellison,1060,United State,North America,77,Information Technology,Male,,8,Carlos Slim Helu & family,930,Mexico,North America,83,Information Technology,Male
9,"Walton, S. Robson",186,United State,North America,57,Consumer,,8,"Walton, S Robson",205,United State,North America,58,Consumer,,7,Jim C Walton,165,United State,North America,55,Consumer,,6,John Walton,200,United State,North America,58,Consumer,,9,Lawrence Ellison,184,United State,North America,60,Information Technology,,9,Kenneth Thomson & family,196,Canada,North America,82,Communication Services,,9,Li Ka-shing,230,China,Asia,78,Real Estate,,9,Oleg Deripaska,280,Russia,Europe,40,Materials,,9,Theo Albrecht,188,Germany,Europe,87,Consumer,,9,Amancio Ortega,250,Spain,Europe,74,Consumer,Male,,9,MUnited Kingdomesh Ambani,270,India,Asia,53,Energy,Male,,9,Li Ka-shing,255,China,Asia,83,Real Estate,Male,,9,Liliane Bettencourt & family,300,France,Europe,90,Consumer,Female,,9,Christy Walton & family,367,United State,North America,59,Consumer,Female,,9,Jim Walton,406,United State,North America,67,Consumer,Male,,9,Charles Koch,396,United State,North America,80,Financials,Male,,8,David Koch,483,United State,North America,76,Financials,Male,,8,David Koch,600,United State,North America,77,Financials,Male,,9,Michael Bloomberg,555,United State,North America,77,Communication Services,Male,,9,Alice Walton,544,United State,North America,70,Consumer,Female,,9,Sergey Brin,890,United State,North America,47,Information Technology,Male,,9,Steve Ballmer,914,United State,North America,66,Information Technology,Male,,9,Mukesh Ambani,834,India,Asia,65,Industrials,Male
10,"Walton, Alice L.",185,United State,North America,81,Consumer,,10,"Walton, Helen R",204,United State,North America,82,Consumer,,7,John T Walton,165,United State,North America,57,Consumer,,6,S Robson Walton,200,United State,North America,60,Consumer,,10,S Robson Walton,183,United State,North America,61,Consumer,,10,Li Ka-shing,188,China,Asia,77,Real Estate,,10,David Thomson & family,220,Canada,North America,49,Communication Services,,10,Karl Albrecht,270,Germany,Europe,88,Consumer,,10,Amancio Ortega,183,Spain,Europe,73,Consumer,,10,Karl Albrecht,235,Germany,Europe,90,Consumer,Male,,10,Christy Walton & family,265,United State,North America,56,Consumer,Female,,10,Karl Albrecht,254,Germany,Europe,92,Consumer,Male,,10,Bernard Arnault & family,290,France,Europe,64,Consumer,Male,,10,Jim Walton,347,United State,North America,66,Consumer,Male,,10,Liliane Bettencourt,401,France,Europe,92,Consumer,Female,,9,David Koch,396,United State,North America,75,Financials,Male,,10,Michael Bloomberg,475,United State,North America,75,Communication Services,Male,,10,Larry Ellison,585,United State,North America,73,Information Technology,Male,,10,Larry Page,508,United State,North America,45,Information Technology,Male,,10,Rob Walton,541,United State,North America,75,Consumer,Male,,10,MUnited Kingdomesh Ambani,845,India,Asia,63,Financials,Male,,10,Mukesh Ambani,907,India,Asia,64,Industrials,Male,,10,Steve Ballmer,807,United State,North America,67,Information Technology,Male
