Year,Name,Worth,Age
2001,"Albrecht, Theo & Karl",250.0,-
2001,"Quandt, Johanna & family",178.0,73
2001,"Bettencourt, Liliane",156.0,78
2001,"Kamprad, Ingvar",130.0,74
2001,"Kirch, Leo",120.0,-
2001,"Arnault, Bernard",107.0,52
2001,"Bertarelli, Ernesto & family",105.0,35
2001,"Berlusconi, Silvio",103.0,64
2001,"Rausing, Kirsten & family",90.0,64
2001,"Rausing, Hans",77.0,55
2001,"Del Vecchio, Leonardo",66.0,65
2001,"Ortega, Amancio",66.0,65
2001,"Grosvenor, Gerald Cavendish",65.0,49
2001,"Pinault, Francois",63.0,64
2001,"Landolt, Pierre & family",61.0,-
2001,"Benetton, Luciano & family",55.0,65
2001,"Curt, Engelhorn",54.0,74
2001,"Halley, Paul-Louis & family",54.0,57
2001,"Plattner, Hasso",54.0,72
2001,"Flick, Friedrich Karl Jr.",53.0,74
2001,"Haefner, Walter",53.0,53
2001,"Persson, Stefan",53.0,55
2001,"Otto, Michael & family",50.0,-
2001,"von Finck, August",50.0,73
2001,"Wertheimer, Alain & Gerard",50.0,71
2001,"Dassault, Serge & family",49.0,76
2001,"Herz, Gnter & family",48.0,60
2001,"Gerling, Rolf",47.0,46
2001,"Latsis, Spiros & family",46.0,54
2001,"von Holtzbrinck, Dieter & family",46.0,70
2001,"Mohn, Reinhard",45.0,58
2001,"Oetker, Rudolf & family",44.0,-
2001,"Haub, Erivan & family",40.0,-
2001,"Heineken, Alfred",40.0,57
2001,"Hayek, Nicolas",35.0,53
2001,"Schmidheiny, Stephan",35.0,68
2001,"Worth, Reinhold",35.0,51
2001,"Louis-Dreyfus, Gerard & family",34.0,-
2001,"Ebner, Martin",33.0,66
2001,"Foriel-Destezet, Phillipe",32.0,59
2001,"Kipp, Karl-Heinz",32.0,72
2001,"Agnelli, Giovanni & family",31.0,60
2001,"Doris, Ennio",31.0,75
2001,"Hopp, Dietmar & family",29.0,-
2001,"Jacobs, Klaus",28.0,66
2001,"Schroder, Bruno",27.0,75
2001,"Schmidheiny, Thomas",26.0,60
2001,"Tschira, Klaus",26.0,75
2001,"Beisheim, Otto",25.0,63
2001,"Ecclestone, Bernard",25.0,77
2001,"Schmidt-Ruthenbeck, Rainer & Michael",25.0,60
2001,"Khodorkovsky, Mikhail",24.0,37
2001,"Bosch, Robert Jr. & family",23.0,73
2001,"Bouygues, Martin & family",23.0,49
2001,"Decaux, Jean-Claude",22.0,70
2001,"Mller, Maersk Mc-Kinney",22.0,65
2001,"Dorrance, John T. III",21.0,73
2001,"Mantegazza, Sergio",21.0,-
2001,"Maramotti, Achille",21.0,74
2001,"Merckle, Adolf",21.0,-
2001,"Swire, Adrian & family",21.0,52
2001,"Burda, Hubert",20.0,61
2001,"Champalimaud, Antonio",20.0,87
2001,"Mann, Hugo & family",20.0,67
2001,"Thyssen-Bornemisza, Georg",20.0,63
2001,"Bulgari, Paolo & family",19.0,-
2001,"Hargreaves, John & family",19.0,57
2001,"Jahr, John & family",19.0,-
2001,"Kristiansen, Kjeld Kirk",19.0,-
2001,"Schrghuber, Stefan",19.0,56
2001,"Branson, Richard",18.0,37
2001,"March, Juan & Carlos",18.0,81
2001,"Mittal, Lakshmi",18.0,61
2001,"Potanin, Vladimir",18.0,51
2001,"Armani, Giorgio",17.0,66
2001,"Ferrero, Michele",17.0,69
2001,"Kudelski, Andr",17.0,63
2001,"Morrison, Kenneth & family",17.0,60
2001,"Bogdanov, Vladimir",16.0,56
2001,"Dumas, Jean-Louis & family",16.0,59
2001,"Primat, Didier",16.0,-
2001,"Bernat, Enric",15.0,-
2001,"Blocher, Christoph",15.0,-
2001,"Haji-Ioannou, Stelios",15.0,65
2001,"Viakhirev, Rem",15.0,56
2001,"Abramovich, Roman",14.0,-
2001,"Bellon, Pierre",14.0,-
2001,"Botn, Emilio & family",14.0,66
2001,"Fentener van Vlissingen, John A.",14.0,54
2001,"Hagen, Stein-Erik",14.0,-
2001,"Hilti, Michael & family",14.0,64
2001,"Liebherr, Willi & Isolde",14.0,57
2001,"Prada, Miuccia Bianchi",14.0,59
2001,Rafael del Pino & family,14.0,40
2001,"von Thurn und Taxis, Gloria",14.0,62
2001,"Alekperov, Vagit",13.0,66
2001,"Bamford, Anthony & family",13.0,-
2001,"De Benedetti, Carlo",13.0,74
2001,"Guerrand-Herms, Patrick",13.0,55
2001,"Hector, Hans-Werner",13.0,61
2001,"Micheli, Francesco",13.0,76
2001,"Fridman, Mikhail",13.0,36
2001,"Scaglia, Silvio",13.0,54
2001,"Tanzi, Calisto",13.0,76
2001,"Fredriksen, John",12.0,33
2001,"Kokkalis, Socrates",12.0,-
2001,"O'Reilly, Anthony",12.0,42
2001,"Rich, Marc David",12.0,-
2001,"Soru, Renato",12.0,65
2001,"Caltagirone, Francesco Gaetano",11.0,67
2001,"Chernomyrdin, Viktor",11.0,-
