Female2010,FemaleWorth2010,Male2010,MaleWorth2010,Female2011,FemaleWorth2011,Male2011,MaleWorth2011,Female2012,FemaleWorth2012,Male2012,MaleWorth2012,Female2013,FemaleWorth2013,Male2013,MaleWorth2013,Female2014,FemaleWorth2014,Male2014,MaleWorth2014,Female2015,FemaleWorth2015,Male2015,MaleWorth2015,Female2016,FemaleWorth2016,Male2016,MaleWorth2016,Female2017,FemaleWorth2017,Male2017,MaleWorth2017,Female2018,FemaleWorth2018,Male2018,MaleWorth2018,Female2019,FemaleWorth2019,Male2019,MaleWorth2019,Female2020,FemaleWorth2020,Male2020,MaleWorth2020,Female2021,FemaleWorth2021,Male2021,MaleWorth2021,Female2022,FemaleWorth2022,Male2022,MaleWorth2022,Female2023,FemaleWorth2023,Male2023,MaleWorth2023
Female,225,Male,535,Female,265,Male,740,Female,253,Male,690,Female,300,Male,730,Female,367,Male,760,Female,417,Male,792,Female,361,Male,750,Female,395,Male,860,Female,460,Male,1120,Female,493,Male,1310,Female,544,Male,1130,Female,736,Male,1770,Female,748,Male,2190,Female,805,Male,2110
Female,206,Male,530,Female,235,Male,560,Female,240,Male,610,Female,282,Male,670,Female,345,Male,720,Female,401,Male,771,Female,323,Male,670,Female,338,Male,756,Female,422,Male,900,Female,444,Male,965,Female,489,Male,980,Female,618,Male,1510,Female,653,Male,1710,Female,590,Male,1800
Female,200,Male,470,Female,212,Male,500,Female,233,Male,440,Female,263,Male,570,Female,343,Male,640,Female,394,Male,727,Female,234,Male,608,Female,270,Male,728,Female,250,Male,840,Female,239,Male,825,Female,382,Male,760,Female,530,Male,1500,Female,600,Male,1580,Female,567,Male,1140
Female,130,Male,290,Female,192,Male,410,Female,180,Male,410,Female,174,Male,535,Female,200,Male,582,Female,266,Male,645,Female,221,Male,500,Female,252,Male,713,Female,236,Male,720,Female,221,Male,760,Female,360,Male,675,Female,464,Male,1240,Female,436,Male,1290,Female,383,Male,1070
Female,122,Male,287,Female,146,Male,395,Female,178,Male,375,Female,170,Male,430,Female,177,Male,480,Female,234,Male,543,Female,185,Male,452,Female,204,Male,560,Female,219,Male,710,Female,210,Male,640,Female,247,Male,590,Female,382,Male,970,Female,317,Male,1180,Female,350,Male,1060
Female,115,Male,280,Female,140,Male,311,Female,140,Male,360,Female,170,Male,340,Female,174,Male,400,Female,195,Male,429,Female,167,Male,446,Female,200,Male,545,Female,188,Male,700,Female,186,Male,627,Female,203,Male,551,Female,313,Male,960,Female,302,Male,1110,Female,312,Male,1040
Female,111,Male,275,Female,134,Male,310,Female,138,Male,300,Female,143,Male,340,Female,173,Male,400,Female,170,Male,429,Female,131,Male,436,Female,150,Male,522,Female,174,Male,671,Female,156,Male,625,Female,168,Male,547,Female,296,Male,930,Female,275,Male,1070,Female,274,Male,945
Female,110,Male,270,Female,132,Male,300,Female,130,Male,260,Female,127,Male,310,Female,155,Male,380,Female,168,Male,406,Female,123,Male,400,Female,144,Male,483,Female,163,Male,600,Female,154,Male,623,Female,164,Male,546,Female,277,Male,915,Female,243,Male,1060,Female,270,Male,930
Female,110,Male,250,Female,113,Male,270,Female,125,Male,255,Female,124,Male,290,Female,155,Male,347,Female,139,Male,391,Female,101,Male,396,Female,137,Male,483,Female,159,Male,600,Female,152,Male,555,Female,146,Male,541,Female,236,Male,890,Female,228,Male,914,Female,244,Male,834
Female,100,Male,235,Female,100,Male,260,Female,109,Male,254,Female,120,Male,280,Female,140,Male,344,Female,135,Male,372,Female,101,Male,396,Female,126,Male,475,Female,158,Male,585,Female,151,Male,508,Female,131,Male,527,Female,233,Male,845,Female,212,Male,907,Female,231,Male,807
Female,70,Male,230,Female,98,Male,255,Female,103,Male,250,Female,115,Male,270,Female,128,Male,342,Female,134,Male,355,Female,97,Male,352,Female,122,Male,415,Female,130,Male,500,Female,142,Male,505,Female,128,Male,521,Female,209,Male,770,Female,187,Male,900,Female,216,Male,792
Female,60,Male,224,Female,90,Male,245,Female,100,Male,250,Female,110,Male,267,Female,111,Male,335,Female,123,Male,348,Female,88,Male,344,Female,95,Male,407,Female,88,Male,488,Female,94,Male,505,Female,120,Male,509,Female,197,Male,689,Female,182,Male,820,Female,175,Male,773
Female,55,Male,210,Female,75,Male,240,Female,90,Male,249,Female,107,Male,265,Female,104,Male,330,Female,116,Male,334,Female,68,Male,340,Female,90,Male,398,Female,87,Male,475,Female,93,Male,500,Female,119,Male,491,Female,190,Male,687,Female,177,Male,812,Female,167,Male,760
Female,50,Male,207,Female,67,Male,233,Female,77,Male,237,Female,106,Male,261,Female,100,Male,323,Female,104,Male,333,Female,64,Male,336,Female,81,Male,341,Female,87,Male,464,Female,79,Male,498,Female,108,Male,480,Female,183,Male,658,Female,166,Male,673,Female,165,Male,680
Female,50,Male,198,Female,65,Male,230,Female,68,Male,231,Female,92,Male,260,Female,88,Male,320,Female,88,Male,314,Female,64,Male,319,Female,81,Male,340,Female,79,Male,462,Female,74,Male,446,Female,108,Male,388,Female,182,Male,628,Female,164,Male,662,Female,158,Male,644
Female,45,Male,194,Female,58,Male,220,Female,65,Male,223,Female,80,Male,252,Female,85,Male,318,Female,85,Male,297,Female,64,Male,287,Female,74,Male,313,Female,78,Male,453,Female,72,Male,443,Female,91,Male,382,Female,167,Male,602,Female,153,Male,657,Female,147,Male,590
Female,45,Male,190,Female,55,Male,220,Female,63,Male,220,Female,76,Male,230,Female,81,Male,310,Female,84,Male,292,Female,61,Male,278,Female,68,Male,312,Female,77,Male,401,Female,69,Male,412,Female,89,Male,381,Female,154,Male,595,Female,152,Male,650,Female,141,Male,588
Female,44,Male,187,Female,51,Male,213,Female,57,Male,207,Female,66,Male,228,Female,77,Male,285,Female,67,Male,269,Female,59,Male,271,Female,67,Male,304,Female,74,Male,390,Female,67,Male,388,Female,82,Male,368,Female,147,Male,590,Female,126,Male,650,Female,137,Male,576
Female,39,Male,185,Female,47,Male,210,Female,47,Male,200,Female,61,Male,215,Female,69,Male,265,Female,67,Male,266,Female,57,Male,252,Female,63,Male,300,Female,73,Male,385,Female,65,Male,373,Female,79,Male,316,Female,139,Male,553,Female,107,Male,600,Female,120,Male,544
Female,35,Male,180,Female,47,Male,200,Female,45,Male,190,Female,60,Male,204,Female,64,Male,250,Female,63,Male,266,Female,57,Male,249,Female,60,Male,292,Female,72,Male,384,Female,65,Male,362,Female,76,Male,295,Female,130,Male,519,Female,98,Male,596,Female,109,Male,501
Female,34,Male,175,Female,42,Male,198,Female,45,Male,187,Female,60,Male,203,Female,64,Male,250,Female,62,Male,255,Female,55,Male,244,Female,60,Male,283,Female,71,Male,349,Female,63,Male,351,Female,71,Male,281,Female,125,Male,505,Female,95,Male,551,Female,102,Male,472
Female,34,Male,175,Female,41,Male,198,Female,41,Male,187,Female,57,Male,203,Female,63,Male,245,Female,62,Male,250,Female,55,Male,238,Female,60,Male,272,Female,70,Male,303,Female,62,Male,343,Female,69,Male,270,Female,107,Male,499,Female,94,Male,500,Female,101,Male,451
Female,32,Male,175,Female,38,Male,196,Female,41,Male,184,Female,51,Male,200,Female,63,Male,230,Female,61,Male,248,Female,52,Male,235,Female,58,Male,270,Female,69,Male,303,Female,62,Male,334,Female,69,Male,268,Female,97,Male,484,Female,90,Male,492,Female,98,Male,450
Female,31,Male,175,Female,37,Male,190,Female,41,Male,183,Female,51,Male,200,Female,63,Male,226,Female,61,Male,245,Female,52,Male,234,Female,57,Male,262,Female,68,Male,300,Female,61,Male,325,Female,66,Male,247,Female,94,Male,464,Female,88,Male,473,Female,96,Male,429
Female,30,Male,170,Female,34,Male,185,Female,39,Male,181,Female,51,Male,200,Female,61,Male,220,Female,58,Male,242,Female,51,Male,234,Female,57,Male,252,Female,66,Male,296,Female,60,Male,317,Female,62,Male,246,Female,91,Male,454,Female,85,Male,471,Female,96,Male,401
