Year,Name,Worth,Age
2001,"Gates, William H. III",587,45
2001,"Buffett, Warren Edward",323,70
2001,"Allen, Paul Gardner",304,48
2001,"Ellison, Lawrence Joseph",260,56
2001,"Walton, Jim C.",188,53
2001,"Walton, John T.",187,55
2001,"Walton, S. Robson",186,57
2001,"Walton, Alice L.",185,81
2001,"Walton, Helen R.",185,52
2001,"Ballmer, Steven Anthony",166,44
2001,"Thomson, Kenneth & family",164,77
2001,"Anschutz, Philip F.",153,61
2001,"Redstone, Sumner M.",126,77
2001,"Anthony, Barbara Cox",117,81
2001,"Chambers, Anne Cox",117,77
2001,"Kluge, John Werner",109,86
2001,"Slim Hel, Carlos",108,61
2001,"Dell, Michael",105,36
2001,"Johnson, Abigail",91,39
2001,"Mars, Forrest Edward Jr.",90,-
2001,"Mars, Jacqueline Badger",90,-
2001,"Mars, John Franklyn",90,69
2001,"Ergen, Charles",88,62
2001,"Turner, Robert E. (Ted)",88,48
2001,"Murdoch, Keith Rupert",78,70
2001,"Kerkorian, Kirk",64,83
2001,"Schwab, Charles R.",63,63
2001,"Soros, George",60,70
2001,"Broad, Eli",58,67
2001,"Goodnight, James",57,58
2001,"Pritzker, Robert Alan",55,74
2001,"Pritzker, Thomas J.",55,50
2001,"Moore, Gordon Earle",54,-
2001,"Lerner, Alfred",51,-
2001,"Newhouse, Donald Edward",50,70
2001,"Newhouse, Samuel Irving Jr.",50,57
2001,"Johnson, Edward Crosby III",46,59
2001,"Bloomberg, Michael Rubens",45,79
2001,"Davis, Marvin H.",45,76
2001,"Johnson, Samuel Curtis",45,75
2001,"Omidyar, Pierre M.",45,35
2001,"Irving, James, Arthur & John",44,-
2001,"Bass, Lee Marshall",43,63
2001,"Greenberg, Maurice Raymond",43,75
2001,"Knight, Philip H.",43,44
2001,"Arison, Micky",41,50
2001,"Annenberg, Walter Hubert",40,60
2001,"Bren, Donald L.",40,68
2001,"Warner, H. Ty",40,68
2001,"Weston, Galen & family",40,-
2001,"Bass, Sid Richardson",38,76
2001,"Huntsman, Jon Meade",38,67
2001,"Lauder, Leonard Alan",38,58
2001,"Perot, Henry Ross",38,-
2001,"Icahn, Carl",37,43
2001,"Sidhu, Sanjiv",37,-
2001,"Simplot, John R.",36,92
2001,"McCaw, Craig O.",35,72
2001,"Bronfman, Charles R.",34,68
2001,"Geffen, David",34,-
2001,"Kroenke, Ann Walton",34,58
2001,"Sorenson, James L.",34,79
2001,"Bronfman, Edgar M. Sr.",33,-
2001,"Hostetter, Amos Barr Jr.",33,58
2001,"Marcus, Bernard",33,72
2001,"Perelman, Ronald Owen",33,71
2001,"Fisher, Donald George",32,77
2001,"Fisher, Doris Feigenbaum",32,65
2001,"Koch, Charles De Ganahl",32,70
2001,"Koch, David Hamilton",32,65
2001,"Lauder, Ronald Steven",32,74
2001,"Tisch, Preston Robert",32,60
2001,"Crown, Lester & family",31,57
2001,"Wrigley, William Jr.",31,37
2001,"Azcrraga Jean, Emilio",30,33
2001,"Bass, Robert Muse",30,45
2001,"Bechtel, Riley P.",30,59
2001,"Bechtel, Stephen Davison Jr.",30,-
2001,"Hillman, Henry Lea",30,84
2001,"Lucas, George",30,56
2001,"Perrenchio, Andrew Jerrold",30,53
2001,"Salinas Pliego, Ricardo & family",30,48
2001,"Wexner, Leslie Herbert",29,73
2001,"Zambrano, Lorenzo & family",29,59
2001,"Dolan, Charles Francis",28,80
2001,"Sall, John",28,55
2001,"Taylor, Jack Crawford",28,54
2001,"Udvar-Hazy, Steven Ferencz",28,-
2001,"Lefrak, Samuel Jayson",27,68
2001,"Skoll, Jeff",27,84
2001,"Garza Lagera, Eugenio & family",25,-
2001,"Gerry, Alan",25,70
2001,"Kroc, Joan Beverly & family",25,-
2001,"Malone, John C.",25,70
2001,"Rockefeller, David Sr.",25,47
2001,"Rowling, Robert",25,71
2001,"Nicholas, Henry T.",24,-
2001,"Stern, Leonard Norman",24,39
2001,"Tisch, Laurence Alan",24,62
2001,"Buffett, SUnited Staten Thompson",23,-
2001,"Davidson, William Morse",23,60
2001,"Getty, Gordon Peter",23,78
2001,"Hunt, Ray Lee",23,68
2001,"Kaiser, George B.",23,46
2001,"Lauren, Ralph",23,58
2001,"Samueli, Henry",23,60
2001,"Schulze, Richard M.",23,62
2001,"Duffield, David A.",22,59
2001,"Huizenga, H. Wayne",22,87
2001,"Ingram, Martha Robinson Rivers",22,63
2001,"Johnson, Barbara Piasecka",22,55
2001,"Kim, James",22,54
2001,"Laurie, Nancy Walton",22,64
2001,"Sherman, Bernard (Barry)",22,65
2001,"Siebel, Thomas M.",22,49
2001,"Gonda, Louis L.",21,66
2001,"Johnson, Charles Bartlett",21,70
2001,"Littlefield, Edmund Wattis",21,57
2001,"Spielberg, Steven Allen",21,68
2001,"Stempel, Ernest E.",21,-
2001,"Bezos, Jeffrey P.",20,-
2001,"Egan, Richard J.",20,34
2001,"Gaylord, Edward Lewis",20,82
2001,"Kellogg, Peter R.",20,-
2001,"McGovern, Patrick Joseph",20,37
2001,"Menard, John R. Jr.",20,38
2001,"Morgridge, John P.",20,58
2001,"Naify, Robert Allen",20,-
2001,"Sarofim, Fayez Shalaby",20,79
